RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Cody Durden,Joshua Van,142.0,-170.0,142.0,58.8235,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,Orthodox,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,Southpaw,170.18,170.18,125,33,23,0,0,-1,-2,-3,-10,0,0,-1,-5.08,-5.08,-10,5.04,-0.9,-2.74,,,14.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,300.0,250.0,550.0,800.0,900.0,225.0
Michael Chiesa,Max Griffin,-130.0,110.0,76.9231,110.0,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,1,2,2,3,0,0,8,Orthodox,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,0,0,5,0,7,0,12,Southpaw,185.42,190.5,170,37,39,0,0,-1,-4,1,3,-1,3,-7,-5.08,2.54,2,2.06,-0.7,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3.0,1:56,716.0,200.0,200.0,350.0,1800.0,1600.0,350.0
Clay Guida,Chase Hooper,700.0,-1100.0,700.0,9.0909,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,3,0,5.08,0.52,2.3,1.45,0.24,3,3,23,0,0,0,2,2,3,0,7,Southpaw,185.42,187.96,155,2,0,0,2.64,0.33,0.6,3.13,0.36,4,19,105,2,0,4,9,2,5,0,20,Orthodox,170.18,177.8,155,42,25,-2,3,-1,-13,-16,-82,-2,0,-2,15.24,10.16,-17,2.44,1.7,-1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1.0,3:41,221.0,1200.0,225.0,2800.0,-165.0,2200.0,700.0
Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,18.1818,410.0,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,4,14,0,0,0,1,0,1,0,2,Orthodox,193.04,198.12,236,0,1,0,5.34,0.47,0.2,0.58,0.45,3,5,31,0,0,1,1,6,1,0,9,Southpaw,195.58,210.82,205,32,32,1,-1,-2,-7,-1,-17,0,-6,0,-2.54,-12.7,0,-0.44,0.3,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:51,291.0,300.0,700.0,700.0,3000.0,-150.0,1200.0
Petr Yan,Deiveson Figueiredo,-305.0,245.0,32.7869,245.0,2024-11-23,"Macau, China",China,Red,False,Bantamweight,MALE,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,0,1,4,4,4,0,13,Orthodox,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,0,0,5,4,0,0,9,Switch,170.18,170.18,135,31,36,0,2,-2,4,-1,-1,2,0,4,-5.08,2.54,5,-2.2,1.3,0.01,,5.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,,,Red,U-DEC,,5.0,5:00,1500.0,110.0,450.0,2000.0,1600.0,200.0,1000.0
Yan Xiaonan,Tabatha Ricci,-198.0,164.0,50.5051,164.0,2024-11-23,"Macau, China",China,Red,False,Women's Strawweight,FEMALE,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,Orthodox,154.94,154.94,115,1,0,0,4.99,0.45,0.0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115,35,29,-1,2,-2,-2,-1,-12,-1,-1,1,-10.16,-5.08,-6,-0.81,0.1,1.82,,10.0,2.0,,,2.0,,,,,,,,,,11.0,,,10.0,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,110.0,215.0,2000.0,1100.0,200.0,1800.0
Song Kenan,Muslim Salikhov,,-230.0,,43.4783,2024-11-23,"Macau, China",China,Blue,False,Welterweight,MALE,3,0,1,0,3.38,0.49,0.0,1.08,0.32,5,4,26,0,0,2,2,3,0,0,7,Orthodox,180.34,177.8,170,0,1,0,4.49,0.46,0.0,0.42,0.3,2,4,23,0,0,0,3,3,0,0,6,Orthodox,182.88,180.34,170,34,40,0,0,3,1,0,3,0,0,0,-2.54,-2.54,6,-1.11,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,3:49,229.0,,175.0,,1800.0,,200.0
Wang Cong,Gabriella Fernandes,-950.0,750.0,10.5263,750.0,2024-11-23,"Macau, China",China,Blue,False,Women's Flyweight,FEMALE,3,0,1,0,3.46,0.46,0.3,0.56,0.18,1,2,9,0,0,1,0,0,0,0,1,Southpaw,167.64,167.64,125,0,2,0,5.81,0.46,2.3,1.16,0.5,2,0,2,0,0,0,0,1,1,0,2,Southpaw,167.64,167.64,125,32,31,0,-1,-1,-1,2,7,0,-1,-1,0.0,0.0,-1,-2.35,-2.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:49,529.0,-110.0,1000.0,460.0,3000.0,280.0,2200.0
Volkan Oezdemir,Carlos Ulberg,215.0,-265.0,215.0,37.7358,2024-11-23,"Macau, China",China,Blue,False,Light Heavyweight,MALE,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,0,0,1,5,1,0,7,Orthodox,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,0,2,1,4,1,0,8,Orthodox,187.96,190.5,205,35,34,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,,10.0,8.0,,,,,,8.0,,,,,,,,,,,,,10.0,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,500.0,240.0,1600.0,800.0,500.0,130.0
Zhang Mingyang,Ozzy Diaz,-225.0,210.0,44.4444,210.0,2024-11-23,"Macau, China",China,Red,False,Light Heavyweight,MALE,3,1,0,0,2.21,0.43,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,193.04,200.66,205,0,2,0,8.57,0.55,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,187.96,190.5,205,26,34,1,-2,-2,-2,1,0,0,-2,0,5.08,10.16,8,-6.36,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbow,1.0,2:25,145.0,800.0,1400.0,600.0,800.0,-185.0,450.0
Baergeng Jieleyisi,SuYoung You,190.0,-230.0,190.0,43.4783,2024-11-23,"Macau, China",China,Blue,False,Bantamweight,MALE,3,0,2,0,2.11,0.42,0.3,4.67,0.58,2,0,6,0,0,1,1,0,0,0,2,Orthodox,167.64,165.1,135,0,2,0,1.75,0.38,0.3,1.65,0.75,2,1,8,0,0,0,1,0,1,0,2,Orthodox,175.26,177.8,135,28,28,0,0,0,0,-1,-2,0,0,-1,-7.62,-12.7,0,0.36,0.0,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,300.0,,600.0,,1100.0,
Kiru Sahota,DongHun Choi,102.0,-122.0,102.0,81.9672,2024-11-23,"Macau, China",China,Blue,False,Flyweight,MALE,3,0,2,0,4.54,0.66,0.0,0.46,0.14,2,0,6,0,0,2,0,0,0,0,2,Switch,165.1,167.64,125,0,2,0,4.05,0.52,0.5,0.92,0.33,2,0,6,0,0,1,1,0,0,0,2,Orthodox,177.8,185.42,125,29,25,0,0,0,0,0,0,0,0,0,-12.7,-17.78,-4,0.49,-0.5,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,2:36,156.0,,150.0,,2500.0,,550.0
Shi Ming,Feng Xiaocan,380.0,-490.0,380.0,20.4082,2024-11-23,"Macau, China",China,Red,False,Women's Strawweight,FEMALE,3,0,2,0,5.43,0.5,0.0,1.08,1.0,2,0,4,0,0,0,1,1,0,0,2,Southpaw,170.18,167.64,115,0,2,0,3.48,0.39,0.0,0.37,0.16,2,0,6,0,0,1,1,0,0,0,2,Orthodox,157.48,152.4,115,30,22,0,0,0,0,0,-2,0,1,0,12.7,15.24,-8,1.95,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,3.0,0:46,646.0,480.0,-195.0,2100.0,1400.0,3600.0,550.0
Nyamjargal Tumendemberel,Carlos Hernandez,102.0,-122.0,102.0,81.9672,2024-11-23,"Macau, China",China,Blue,False,Flyweight,MALE,3,2,0,0,3.9,0.45,0.2,1.6,0.21,2,3,15,0,0,2,1,0,0,0,3,Orthodox,172.72,170.18,125,0,2,0,3.13,0.38,2.4,2.42,0.31,2,0,4,0,0,1,0,0,1,0,2,Orthodox,170.18,180.34,125,26,31,2,-2,0,1,3,11,0,0,-1,2.54,-10.16,5,0.77,-2.2,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,450.0,130.0,500.0,400.0,600.0,1000.0
Lone'er Kavanagh,Jose Ochoa,-310.0,250.0,32.2581,250.0,2024-11-23,"Macau, China",China,Red,False,Flyweight,MALE,3,0,0,0,3.33,0.31,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,125,0,1,0,3.62,0.43,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,162.56,170.18,125,25,23,0,-1,-1,-1,0,-1,0,-1,0,7.62,0.0,-2,-0.29,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,150.0,750.0,800.0,1800.0,130.0,700.0
Xiao Long,Quang Le,-144.0,136.0,69.4444,136.0,2024-11-23,"Macau, China",China,Red,False,Bantamweight,MALE,3,1,0,0,3.02,0.35,0.0,1.7,0.23,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,135,1,0,0,5.4,0.5,0.0,0.84,0.25,2,2,12,0,1,1,0,0,0,0,2,Orthodox,172.72,177.8,135,26,33,0,0,-2,-2,-1,-9,0,0,0,-5.08,0.0,7,-2.38,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,1:28,688.0,185.0,225.0,490.0,1000.0,700.0,750.0
Maheshate,Nikolas Motta,-245.0,200.0,40.8163,200.0,2024-11-23,"Macau, China",China,Blue,False,Lightweight,MALE,3,0,1,0,3.64,0.37,0.0,0.0,0.0,1,2,11,0,0,0,1,2,0,0,3,Orthodox,175.26,177.8,155,0,1,0,3.86,0.29,0.0,0.0,0.0,2,2,12,0,0,1,1,1,0,0,3,Orthodox,182.88,180.34,155,24,31,0,0,-1,0,0,-1,0,1,0,-7.62,-2.54,7,-0.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,650.0,,1800.0,,300.0
Jon Jones,Stipe Miocic,-550.0,410.0,18.1818,410.0,2024-11-16,"New York City, New York, USA",USA,Red,True,Heavyweight,MALE,5,1,0,0,4.67,0.52,0.0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,Orthodox,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,Orthodox,193.04,213.36,248,37,42,1,-18,-12,-7,3,-28,-8,4,-6,0.0,-10.16,5,0.29,-0.5,-0.15,,8.0,0.0,,,,,0.0,,,,,,,,3.0,,,,,8.0,,,,,,,,,Red,KO/TKO,Spinning Back Kick,3.0,4:29,869.0,400.0,1400.0,200.0,3500.0,120.0,700.0
Charles Oliveira,Michael Chandler,-265.0,215.0,37.7358,215.0,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,0,0,0,3,1,0,4,Orthodox,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155,35,38,0,0,-8,-18,-7,-49,-2,-1,-15,-5.08,-7.62,3,1.09,-2.1,-0.66,,7.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,7.0,,,,,Red,U-DEC,,5.0,5:00,1500.0,1200.0,1100.0,130.0,900.0,215.0,380.0
Bo Nickal,Paul Craig,-1350.0,800.0,7.4074,800.0,2024-11-16,"New York City, New York, USA",USA,Red,False,Middleweight,MALE,3,2,0,1,2.52,0.44,1.4,1.52,0.2,4,8,34,0,0,0,0,3,6,0,9,Orthodox,190.5,193.04,185,0,5,0,2.65,0.63,3.6,3.61,0.5,5,0,6,0,0,0,0,1,4,0,5,Southpaw,185.42,193.04,185,28,36,2,-5,-1,4,8,28,0,2,2,5.08,0.0,8,-0.13,-2.2,-2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,700.0,3000.0,175.0,1400.0,-150.0,3000.0
Viviane Araujo,Karine Silva,235.0,-290.0,235.0,34.4828,2024-11-16,"New York City, New York, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,0,0,1,0,4,0,5,Orthodox,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,0,0,5,1,0,0,6,Orthodox,162.56,172.72,125,37,30,-1,5,3,-1,-5,-27,0,-1,4,2.54,-2.54,-7,-1.0,1.2,0.93,,11.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,Blue,U-DEC,,3.0,5:00,900.0,300.0,100.0,2000.0,300.0,2000.0,750.0
Mauricio Ruffy,James Llontop,-1000.0,650.0,10.0,650.0,2024-11-16,"New York City, New York, USA",USA,Red,False,Catch Weight,MALE,3,2,0,0,5.57,0.41,0.0,0.0,0.0,1,2,7,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,155,0,2,0,4.7,0.59,0.0,0.0,0.0,2,0,4,0,0,0,0,2,0,0,2,Orthodox,180.34,190.5,155,28,25,2,-2,-1,-1,2,3,0,-2,0,2.54,-5.08,-3,0.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,180.0,1200.0,800.0,3500.0,-150.0,1800.0
Jonathan Martinez,Marcus McGhee,-105.0,-115.0,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,Blue,False,Bantamweight,MALE,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,Orthodox,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,Southpaw,172.72,177.8,135,30,34,-1,3,-3,-7,-4,-34,0,-2,1,0.0,-2.54,4,1.62,0.4,0.08,,,13.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,215.0,250.0,1400.0,1400.0,500.0,225.0
Jim Miller,Damon Jackson,195.0,-238.0,195.0,42.0168,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,1,0,1,2.96,0.42,1.2,2.3,0.32,4,5,30,0,0,1,2,1,2,0,6,Switch,180.34,180.34,155,1,0,0,2.99,0.42,1.7,1.52,0.44,7,17,99,0,0,2,6,6,12,0,26,Southpaw,172.72,180.34,155,41,36,0,0,-3,-20,-12,-69,0,-5,-10,7.62,0.0,-5,-0.03,-0.5,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1.0,2:44,164.0,550.0,130.0,900.0,400.0,500.0,500.0
David Onama,Roberto Romero,-1450.0,850.0,6.8966,850.0,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,4.93,0.47,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,155,0,2,0,5.6,0.5,0.6,0.73,0.2,2,2,14,0,0,0,1,2,1,0,4,Orthodox,180.34,187.96,145,30,24,0,-2,-2,-4,-2,-14,0,-2,-1,-7.62,-10.16,-6,-0.67,-0.6,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,275.0,1400.0,275.0,4000.0,-120.0,2200.0
